City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
493,UberEATS Marketplace,COMPLETED,2021-08-11 22:44:04 +0000 UTC,2021-08-11 23:17:38 +0000 UTC,2021-08-11 23:17:38 +0000 UTC,2.47787936921465,24.49,BRL
458,Táxi Promo,CANCELED,2021-08-08 15:32:48 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
458,Black,CANCELED,2021-08-08 15:31:46 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
458,UberEATS Marketplace,COMPLETED,2021-08-06 22:27:57 +0000 UTC,2021-08-06 23:03:53 +0000 UTC,2021-08-06 23:03:53 +0000 UTC,0.89651455779995,24.01,BRL
458,VIP,COMPLETED,2021-08-06 16:32:32 +0000 UTC,2021-08-06 16:38:22 +0000 UTC,2021-08-06 16:47:28 +0000 UTC,1.24896618466841,8.95,BRL
458,UberX,CANCELED,2021-08-06 08:25:40 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberEATS Marketplace,COMPLETED,2021-08-04 21:04:28 +0000 UTC,2021-08-04 21:41:48 +0000 UTC,2021-08-04 21:41:48 +0000 UTC,0.73564558611607,92.82,BRL
493,UberEATS Marketplace,COMPLETED,2021-08-03 22:37:09 +0000 UTC,2021-08-03 23:35:14 +0000 UTC,2021-08-03 23:35:14 +0000 UTC,2.47787936921455,45.97,BRL
493,UberX,COMPLETED,2021-07-31 01:02:51 +0000 UTC,2021-07-31 01:08:35 +0000 UTC,2021-07-31 01:14:32 +0000 UTC,1.45473741267449,8.94,BRL
493,UberEATS Marketplace,COMPLETED,2021-07-27 21:41:53 +0000 UTC,2021-07-27 22:30:29 +0000 UTC,2021-07-27 22:30:29 +0000 UTC,3.82630565211125,10.5,BRL
493,UberEATS Marketplace,COMPLETED,2021-07-23 19:38:00 +0000 UTC,2021-07-23 20:44:30 +0000 UTC,2021-07-23 20:44:30 +0000 UTC,3.82630565211125,28.99,BRL
493,UberEATS Marketplace,COMPLETED,2021-07-19 23:56:43 +0000 UTC,2021-07-20 00:51:01 +0000 UTC,2021-07-20 00:51:01 +0000 UTC,1.395976221968,134.28,BRL
493,UberX,COMPLETED,2021-07-19 19:15:23 +0000 UTC,2021-07-19 19:19:55 +0000 UTC,2021-07-19 19:28:31 +0000 UTC,2.08479349155761,9.96,BRL
493,UberX,CANCELED,2021-07-19 18:46:40 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2021-07-09 19:59:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,VIP,CANCELED,2021-07-09 19:56:49 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberEATS Marketplace,COMPLETED,2021-07-09 16:30:21 +0000 UTC,2021-07-09 17:14:17 +0000 UTC,2021-07-09 17:14:17 +0000 UTC,3.82630565211125,28.99,BRL
493,UberX,COMPLETED,2021-07-07 19:31:43 +0000 UTC,2021-07-07 19:36:17 +0000 UTC,2021-07-07 19:45:18 +0000 UTC,1.96928915936001,9.91,BRL
493,UberX,COMPLETED,2021-07-07 18:41:24 +0000 UTC,2021-07-07 18:47:06 +0000 UTC,2021-07-07 18:58:29 +0000 UTC,1.88384580153562,8.93,BRL
493,UberEATS Marketplace,COMPLETED,2021-07-02 23:08:23 +0000 UTC,2021-07-02 23:50:27 +0000 UTC,2021-07-02 23:50:27 +0000 UTC,2.33273739570953,58.99,BRL
493,UberEATS Marketplace,COMPLETED,2021-07-02 22:41:07 +0000 UTC,2021-07-02 23:23:08 +0000 UTC,2021-07-02 23:23:08 +0000 UTC,3.82630565211125,28.99,BRL
493,UberX,CANCELED,2021-06-27 17:56:19 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberEATS Marketplace,COMPLETED,2021-06-22 00:39:39 +0000 UTC,2021-06-22 01:26:01 +0000 UTC,2021-06-22 01:26:01 +0000 UTC,2.33273739570953,33.89,BRL
493,UberEATS Marketplace,COMPLETED,2021-06-18 20:48:26 +0000 UTC,2021-06-18 21:19:30 +0000 UTC,2021-06-18 21:19:30 +0000 UTC,2.33273739570953,55.84,BRL
493,UberEATS Marketplace,COMPLETED,2021-06-18 20:41:04 +0000 UTC,2021-06-18 21:43:32 +0000 UTC,2021-06-18 21:43:32 +0000 UTC,3.82630565211125,28.99,BRL
493,UberEATS Marketplace,COMPLETED,2021-06-12 23:05:05 +0000 UTC,2021-06-12 23:49:58 +0000 UTC,2021-06-12 23:49:58 +0000 UTC,1.5676312064497,41.63,BRL
493,UberEATS Marketplace,COMPLETED,2021-06-12 16:28:19 +0000 UTC,2021-06-12 17:11:54 +0000 UTC,2021-06-12 17:11:54 +0000 UTC,2.33273739570953,57.83,BRL
